"name","iso","country","entity_type","region","area","area_units","gdp","initiatives_committed","num_commit","lat","lng","population","population_year","state"
"Tirvia","ESP","Spain","City","Europe",8.5,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,42.515,1.24305,116,2018,"Lleida"
"Tissi","ITA","Italy","City","Europe",10.24,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,40.68333333,8.566666667,2300,NA,"Sardinia"
"Tiszaújváros","HUN","Hungary","City","Europe",46.04,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,47.9280341,21.0467056,16582,2009,"Borsod-Abaúj-Zemplén"
"Tiszakarád","HUN","Hungary","City","Europe",47.57,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,48.2028406,21.7200178,2465,2010,"Borsod-Abaúj-Zemplén"
"Titaguas","ESP","Spain","City","Europe",63.21,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,39.8655298,-1.0815926,473,2018,"Valencia"
"Titel","SRB","Serbia","City","Eastern Europe and Central Asia",260.75,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,45.21641,20.283216,15554,NA,"South Backa"
"Tito","ITA","Italy","City","Europe",NA,"",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,40.583615,15.675465,7197,NA,"Potenza"
"Tiurana","ESP","Spain","City","Europe",15.9,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,41.975673,1.255942,77,2018,"Lleida"
"Tivenys","ESP","Spain","City","Europe",53.5,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,40.90944444,0.513333333,876,2018,"Tarragona"
"Tivissa","ESP","Spain","City","Europe",209.4,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,41.04361111,0.734166667,1760,2018,"Tarragona"
"Tivoli","ITA","Italy","City","Europe",68.65,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,41.960922,12.798884,57000,NA,"Lazio"
"Tizzano val Parma","ITA","Italy","City","Europe",78.39,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,44.5205442,10.1991991,2122,NA,"Emilia-Romagna"
"Tlacotepec de Benito Juarez","MEX","Mexico","City","Latin America and Caribbean",399,"",NA,"Carbonn2019",1,18.68833333,-97.64888889,48268,NA,"Puebla"
"Tlalnepantla de Baz","MEX","Mexico","City","Latin America and Caribbean",83.48,"km2",NA,"Carbonn2019;GlobalCovenantofMayors2019;NAZCA",3,19.53666667,-99.19472222,664225,NA,"State of Mexico"
"Tlaquepaque, Jalisco","MEX","Mexico","City","Latin America and Caribbean",270,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,20.59508,-103.27,664193,2010,"Jalisco"
"Tlilapan","MEX","Mexico","City","Latin America and Caribbean",23.85,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,18.8055,-97.09856,5258,2005,"Veracruz"
"Tlumach","UKR","Ukraine","City","Eastern Europe and Central Asia",NA,"",NA,"GlobalCovenantofMayors2019;NAZCA",2,48.8672906,24.9985184,8841,2016,"Tlumach Raion"
"Toano","ITA","Italy","City","Europe",67.25,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,44.376357,10.561197,4555,NA,"Reggio Emilia"
"Tobed","ESP","Spain","City","Europe",37,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,41.33333333,-1.4,230,2018,"Aragon"
"Tocantins","BRA","Brazil","Region","Latin America and Caribbean",277620.9,"km2",NA,"Under2Coalition2019;CompactofStatesRegions2018;NAZCA",3,-10.18333333,-48.33333333,1490000,2018,"Tocantins"
"Tocco Da Casauria","ITA","Italy","City","Europe",29.67,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,42.2136943,13.9134718,2782,NA,"Abruzzo"
"Tocina","ESP","Spain","City","Europe",14,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,37.6097702,-5.7354251,9114,2018,"Seville"
"Tokaj","HUN","Hungary","City","Europe",28.2,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,48.1235534,21.4113895,4824,2017,"Borsod-Abaúj-Zemplén"
"Tokmak","UKR","Ukraine","City","Eastern Europe and Central Asia",1442,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,47.24641,35.709836,32171,2013,"Zaporizhia Oblast"
"Tokorozawa","JPN","Japan","City","East Asia and the Pacific",72,"km2",NA,"Carbonn2019;GlobalCovenantofMayors2019;NAZCA",3,35.79961111,139.4686111,342939,2016,"Saitama Prefecture"
"Tokushima","JPN","Japan","City","East Asia and the Pacific",192,"km2",NA,"Carbonn2019;NAZCA",2,34.06666667,134.55,263372,NA,"Tokushima Prefecture"
"Tokyo","JPN","Japan","City","East Asia and the Pacific",2122,"km2",NA,"Carbonn2019;C40Cities2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA",5,35.68333333,139.6833333,13929286,2019,"Tokyo Metropolis"
"Tolar Grande","ARG","Argentina","City","Latin America and Caribbean",13783.93,"km2",NA,"Carbonn2019;GlobalCovenantofMayors2019;NAZCA",3,-24.6,-67.45,236,2009,"Salta"
"Toledo, OH","USA","United States of America","City","North America",217.87,"km2",NA,"ClimateMayors;CDPCities2018",2,41.665556,-83.575278,278508,2010,"Ohio"
"Tolfa","ITA","Italy","City","Europe",168.27,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,42.14972222,11.93666667,5147,NA,"Rome"
"Tollo","ITA","Italy","City","Europe",14.96,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,42.33333333,14.31666667,4171,NA,"Chieti Province"
"Tollos","ESP","Spain","City","Europe",NA,"",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,38.7568937,-0.2754402,59,NA,"Valencia"
"Tolmin","SVN","Slovenia","City","Europe",1.7,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,46.1828005,13.7328983,11702,2012,"Gorizia"
"Tolosa","ESP","Spain","City","Europe",37.39,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;Carbonn2019;NAZCA",4,43.1386097,-2.0723557,17642,2018,"Gipuzkoa"
"Tolox","ESP","Spain","City","Europe",NA,"",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,36.6872207,-4.9050854,2336,NA,"Málaga"
"Toluca de Lerdo","MEX","Mexico","City","Latin America and Caribbean",452.37,"km2",NA,"Carbonn2019;GlobalCovenantofMayors2019;NAZCA",3,19.2925,-99.65694444,819661,NA,"State of Mexico"
"Tolve","ITA","Italy","City","Europe",128.69,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,40.7,16.01666667,3396,NA,"Basilicata"
"Tomashpil","UKR","Ukraine","City","Eastern Europe and Central Asia",3.46,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,48.55098,28.516285,5557,2011,"Tomashpil Raion"
"Tomazina","BRA","Brazil","City","Latin America and Caribbean",NA,"",NA,"GlobalCovenantofMayors2019;NAZCA",2,-23.7786372,-49.9542729,9000,NA,"Paraná"
"Tombolo","ITA","Italy","City","Europe",11.02,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,45.65,11.83333333,8402,NA,"Padua"
"Tomelloso","ESP","Spain","City","Europe",241.3,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,39.15777778,-3.020833333,38914,2018,"Ciudad Real"
"Tompkins County, NY","USA","United States of America","City","North America",NA,"",NA,"WeAreStillIn2019",1,NA,NA,1166,NA,"New York"
