"name","iso","entity_type","country","area","num_commit","lat","lng","population","population_year","state","admin_1","initiatives_committed","region"
"Acquanegra sul Chiese","ITA","City","Italy","28.01",2,45.16666667,10.43333333,3016,2017,"Mantua",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Acquapendente","ITA","City","Italy","131.61",2,42.747723,11.86302,5619,NA,"Viterbo",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Acquappesa","ITA","City","Italy","14.45",3,39.5,15.95,1882,NA,"Cosenza",NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Acquarica del capo","ITA","City","Italy","18.7",2,39.907845,18.231821,4951,NA,"Lecce",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Acquaviva Collecroce","ITA","City","Italy","28.6",2,41.86666667,14.75,674,NA,"Campobasso",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Acquaviva delle Fonti","ITA","City","Italy","132.03",2,40.9,16.85,21000,NA,"Bari",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Acquaviva Platani","ITA","City","Italy","14.63",3,37.56666667,13.7,1033,NA,"Caltanissetta",NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Acquedolci","ITA","City","Italy","12.93",3,38.05,14.58333333,5500,2015,"Messina",NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Acqui Terme","ITA","City","Italy","33.42",NA,44.683,8.467,19961,2017,"Piedmont","Alessandria","Race to Zero","Europe"
"Acre","BRA","Region","Brazil","152581",3,-9.116666667,-70.51666667,790101,2014,NA,NA,"CDPStates&Regions2022;;States and Regions Annual Disclosure;;The New York Declaration on Forests","Latin America and Caribbean"
"Acri","ITA","City","Italy","200.63",2,39.488691,16.382857,21195,NA,"Cosenza",NA,"GlobalCovenantofMayors2019;NAZCA","Europe"
"Acs","HUN","City","Hungary","103.83",3,47.71,18.016,7260,2004,"Komarom-Esztergom","Komarom","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Acsteszer","HUN","City","Hungary","17.73",3,47.40891,18.00604,767,2004,"Komarom-Esztergom","Komarom-Esztergom","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Acton, MA","USA","City","United States of America",NA,2,42.485,-71.43333333,219292,2019,"Massachusetts","Middlesex County, MA","CDPCities2022;;Race to Zero","North America"
"Adachi","JPN","City","Japan","53",1,37.60733,140.4613,670000,2015,"Tokyo Prefecture","Tokyo","Carbonn2019;Carbonn2019;Carbonn2019","East Asia and the Pacific"
"Adams County, CO","USA","City","United States of America",NA,1,38.79388889,-83.54361111,45913,2017,"Colorado",NA,"Carbonn2019","North America"
"Adams, MA","USA","City","United States of America","59.310771",2,39.839827,-104.193092,498187,2010,"Massachusetts","Berkshire County, MA","GlobalCovenantofMayors2019;NAZCA","North America"
"Adamuz","ESP","City","Spain","334",2,38.01666667,-4.516666667,4476,2018,"CA3rdoba","Alto Guadalquivir","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Adana","TUR","City","Turkey","1945",2,37,35.32133,1768860,2019,"Adana","Adana","CDPCities2022;;GCoM2022","Eastern Europe and Central Asia"
"Addis Ababa","ETH","City","Ethiopia","527",5,9.03,38.74,3103374,2013,NA,"Ethiopia","CDPCities2022;;C40Cities2022;;GCoM2022;;C40 Clean Bus Declaration/Low emission vehicles;;Race to Zero","Sub-Saharan Africa"
