name,iso,entity_type,country,area,num_commit,lat,lng,population,population_year,state,admin_1,initiatives_committed,region
Sant Agustí de Lluçanès,ESP,City,Spain,13.2,NA,42.086940000000006,2.12833,87,2018,Barcelona,Barcelona,EUCovenantofMayors2021,Europe
Sant Andreu de la Barca,ESP,City,Spain,5.5,NA,41.44778,1.9769400000000001,27332,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Andreu de Llavaneres,ESP,City,Spain,11.8,NA,41.57333,2.48278,10877,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Aniol de Finestres,ESP,City,Spain,47.7,3,42.07222222,2.615555556,353,2018,Catalonia,Garrotxa,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Antoni de Vilamajor,ESP,City,Spain,13.7,NA,41.67472,2.40167,6095,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Bartomeu del Grau,ESP,City,Spain,34.4,3,41.98555556,2.171944444,957,2018,Barcelona Province,Osona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Boi de Llobregat,ESP,City,Spain,21.5,NA,41.336000000000006,2.043,82904,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Boi de Lluçanès,ESP,City,Spain,19.5,3,42.0578411,2.1511135,559,2018,Catalonia,Osona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Cebrià de Vallalta,ESP,City,Spain,15.7,3,41.620353,2.6017906,3400,2018,Catalonia,Maresme,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Celoni,ESP,City,Spain,65.2,3,41.69,2.49,16860,2018,Barcelona Province,Vallès Oriental,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Climent de Llobregat,ESP,City,Spain,10.8,NA,41.33806,1.99833,4107,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021,Europe
Sant Climent Sescebes,ESP,City,Spain,24.4,3,42.36888889,2.98,582,2018,Girona,Alt Empordà,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Cugat del Vallès,ESP,City,Spain,48.2,3,41.467,2.083,90664,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Cugat Sesgarrigues,ESP,City,Spain,6.2,3,41.36611111,1.754166667,932,2018,Barcelona Province,Alt Penedès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Esteve Sesrovires,ESP,City,Spain,18.6,3,41.4931121,1.8740739,7202,2018,Barcelona Province,Baix Llobregat,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Feliu de Buixalleu,ESP,City,Spain,61.9,NA,41.79306,2.5875,804,2018,Girona,Girona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Feliu de Guixols,ESP,City,Spain,16.2,3,41.78333333,3.033333333,21950,2018,Catalonia,Baix Empordà,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Feliu de Llobregat,ESP,City,Spain,11.8,3,41.38333,2.04389,45581,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Feliu de Pallerols,ESP,City,Spain,34.9,3,42.076817,2.508654,1360,2018,Girona,Garrotxa,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Feliu Sasserra,ESP,City,Spain,22.4,NA,41.94639,2.0230599999999996,602,2018,Barcelona,Barcelona,EUCovenantofMayors2021,Europe
Sant Ferriol,ESP,City,Spain,42.2,3,42.18333333,2.666666667,228,2018,Catalonia,Garrotxa,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Fost de Campsentelles,ESP,City,Spain,13.2,3,41.5133385,2.2386399,8777,2018,Catalonia,Vallès Oriental,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Fruitós de Bages,ESP,City,Spain,22.2,NA,41.751999999999995,1.8745,8593,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Gregori,ESP,City,Spain,49.2,3,41.99083333,2.757222222,3280,2018,Girona,Gironès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Guim De Freixenet,ESP,City,Spain,25.1,2,41.655791,1.420107,1059,2018,Lleida,Segarra,EUCovenantofMayors2021;GCoM2021,Europe
Sant Hilari Sacalm,ESP,City,Spain,83.3,3,41.8780822,2.5131751,5729,2018,Girona,Selva,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Hipòlit de Voltregà,ESP,City,Spain,0.9,NA,42.01722,2.23889,3475,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Iscle de Vallalta,ESP,City,Spain,17.8,NA,41.625,2.57,1313,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Jaume de Llierca,ESP,City,Spain,6.8,NA,42.21444,2.60833,840,2018,Girona,Girona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Jaume dels Domenys,ESP,City,Spain,24.4,NA,41.301390000000005,1.56028,2551,2018,Tarragona,Tarragona,EUCovenantofMayors2021;GCoM2021,Europe
Sant Joan,ESP,City,Spain,38.54,NA,39.594440000000006,3.04,2083,2018,Balearic Islands,Manacor,EUCovenantofMayors2021,Europe
Sant Joan d’Alacant,ESP,City,Spain,201.27,NA,38.345279999999995,-0.48306000000000004,22804,2018,Alicante,Alicante,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Joan de les Abadesses,ESP,City,Spain,53.7,3,42.233743,2.2854845,3600,2018,Girona,Ripollès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Joan de Mollet,ESP,City,Spain,3.2,3,42.04388889,2.941111111,522,2018,Catalonia,Gironès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Joan de Vilatorrada,ESP,City,Spain,16.4,NA,41.75,1.8,10820,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Joan Despí,ESP,City,Spain,6.2,3,41.3667951,2.0570346,32030,2018,Barcelona Province,Baix Llobregat,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
